,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
2420,Icelandair,Á áætlun,2021-07-24,2021-09-08,Kaupmannahöfn,FI204,07:45,Departure
2421,Icelandair,Á áætlun,2021-07-24,2021-09-08,Amsterdam,FI506,07:50,Departure
2422,Icelandair,Á áætlun,2021-07-24,2021-09-08,Osló,FI318,07:50,Departure
2423,Icelandair,Á áætlun,2021-07-24,2021-09-08,París CDG,FI544,07:50,Departure
2424,Neos,Á áætlun,2021-07-24,2021-09-08,Tenerife South,NO3924,08:20,Departure
2425,Icelandair,Á áætlun,2021-07-24,2021-09-08,Kaupmannahöfn,FI206,08:20,Departure
2426,Icelandair,Á áætlun,2021-07-24,2021-09-08,Tenerife South,FI580,08:40,Departure
2427,Icelandair,Á áætlun,2021-07-24,2021-09-08,Tenerife South,FI582,08:50,Departure
2428,Delta,Á áætlun,2021-07-24,2021-09-08,Minneapolis St Paul,DL261,09:30,Departure
2429,Wizz Air,Á áætlun,2021-07-24,2021-09-08,Kraká,W65054,10:15,Departure
2430,United Airlines,Á áætlun,2021-07-24,2021-09-08,Chicago,UA913,10:30,Departure
2431,SAS,Á áætlun,2021-07-24,2021-09-08,Kaupmannahöfn,SK596,10:30,Departure
2432,Delta,Á áætlun,2021-07-24,2021-09-08,New York JFK,DL247,11:15,Departure
2433,United Airlines,Á áætlun,2021-07-24,2021-09-08,New York Newark,UA967,11:20,Departure
2434,SAS,Á áætlun,2021-07-24,2021-09-08,Osló,SK4788,11:40,Departure
2435,Vueling,Á áætlun,2021-07-24,2021-09-08,Barcelona,VY2008,12:20,Departure
2436,Icelandair,Á áætlun,2021-07-24,2021-09-08,Mílanó,FI592,15:20,Departure
2437,Edelweiss,Á áætlun,2021-07-24,2021-09-08,Zurich,WK301,15:50,Departure
2438,Atlantic Airways,Á áætlun,2021-07-24,2021-09-08,Vagar,RC402,15:55,Departure
2439,Icelandair,Á áætlun,2021-07-24,2021-09-08,London Heathrow,FI454,16:10,Departure
2440,Icelandair,Á áætlun,2021-07-24,2021-09-08,Kaupmannahöfn,FI216,16:10,Departure
2441,Icelandair,Á áætlun,2021-07-24,2021-09-08,Stokkhólmur,FI312,16:25,Departure
2442,Icelandair,Á áætlun,2021-07-24,2021-09-08,Osló,FI324,16:25,Departure
2443,Icelandair,Á áætlun,2021-07-24,2021-09-08,Minneapolis St Paul,FI657,16:45,Departure
2444,Icelandair,Á áætlun,2021-07-24,2021-09-08,Chicago,FI853,16:45,Departure
2445,Icelandair,Á áætlun,2021-07-24,2021-09-08,Chicago,FI837,16:50,Departure
2446,Icelandair,Á áætlun,2021-07-24,2021-09-08,Portland,FI665,16:50,Departure
2447,Icelandair,Á áætlun,2021-07-24,2021-09-08,Washington Dulles,FI645,16:50,Departure
2448,Icelandair,Á áætlun,2021-07-24,2021-09-08,Denver,FI671,16:55,Departure
2449,Icelandair,Á áætlun,2021-07-24,2021-09-08,New York JFK,FI615,17:00,Departure
2450,Icelandair,Á áætlun,2021-07-24,2021-09-08,New York Newark,FI623,17:00,Departure
2451,Icelandair,Á áætlun,2021-07-24,2021-09-08,Toronto,FI603,17:05,Departure
2452,Icelandair,Á áætlun,2021-07-24,2021-09-08,Seattle,FI681,17:05,Departure
2453,Icelandair,Á áætlun,2021-07-24,2021-09-08,Boston,FI631,17:15,Departure
2454,Icelandair,Á áætlun,2021-07-24,2021-09-08,Vancouver,FI697,17:20,Departure
2455,Icelandair,Á áætlun,2021-07-24,2021-09-08,Orlando,FI689,17:25,Departure
2456,Wizz Air,Á áætlun,2021-07-24,2021-09-08,Rome Fiumicino,W68266,19:20,Departure
2457,Transavia,Á áætlun,2021-07-24,2021-09-08,Amsterdam,HV6888,19:50,Departure
2458,Lufthansa,Á áætlun,2021-07-24,2021-09-09,Frankfurt,LH869,00:25,Departure
2459,Czech Airlines,Á áætlun,2021-07-24,2021-09-09,Prag,OK461,01:30,Departure
2460,Play,Á áætlun,2021-07-24,2021-09-09,París CDG,OG400,06:00,Departure
2461,Play,Á áætlun,2021-07-24,2021-09-09,Berlin Brandenburg,OG700,06:00,Departure
2462,Play,Á áætlun,2021-07-24,2021-09-09,London Stansted,OG800,06:30,Departure
2463,Icelandair,Á áætlun,2021-07-24,2021-09-09,Munchen,FI532,07:20,Departure
2464,Icelandair,Á áætlun,2021-07-24,2021-09-09,Zurich,FI568,07:20,Departure
2465,Icelandair,Á áætlun,2021-07-24,2021-09-09,Frankfurt,FI520,07:25,Departure
2466,Icelandair,Á áætlun,2021-07-24,2021-09-09,Dublin,FI416,07:30,Departure
2467,Icelandair,Á áætlun,2021-07-24,2021-09-09,Helsinki,FI342,07:30,Departure
2468,Icelandair,Á áætlun,2021-07-24,2021-09-09,Dusseldorf,FI578,07:35,Departure
2469,Icelandair,Á áætlun,2021-07-24,2021-09-09,Glasgow,FI430,07:35,Departure
2470,Icelandair,Á áætlun,2021-07-24,2021-09-09,Stokkhólmur,FI306,07:35,Departure
2471,Icelandair,Á áætlun,2021-07-24,2021-09-09,London Heathrow,FI450,07:40,Departure
2472,Icelandair,Á áætlun,2021-07-24,2021-09-09,París CDG,FI542,07:40,Departure
2473,Icelandair,Á áætlun,2021-07-24,2021-09-09,Brussel,FI554,07:40,Departure
2474,Icelandair,Á áætlun,2021-07-24,2021-09-09,Amsterdam,FI500,07:40,Departure
2475,Icelandair,Á áætlun,2021-07-24,2021-09-09,Berlin Brandenburg,FI528,07:40,Departure
2476,Icelandair,Á áætlun,2021-07-24,2021-09-09,London Gatwick,FI470,07:45,Departure
2477,Icelandair,Á áætlun,2021-07-24,2021-09-09,Kaupmannahöfn,FI204,07:45,Departure
2478,Icelandair,Á áætlun,2021-07-24,2021-09-09,Osló,FI318,07:50,Departure
2479,Icelandair,Á áætlun,2021-07-24,2021-09-09,París CDG,FI544,07:50,Departure
2480,Icelandair,Á áætlun,2021-07-24,2021-09-09,Hamborg,FI510,07:50,Departure
2481,Icelandair,Á áætlun,2021-07-24,2021-09-09,Kaupmannahöfn,FI206,08:00,Departure
2482,Neos,Á áætlun,2021-07-24,2021-09-09,Alicante,NO4902,08:20,Departure
2483,Icelandair,Á áætlun,2021-07-24,2021-09-09,Bilbao,FI1056,08:40,Departure
2484,Icelandair,Á áætlun,2021-07-24,2021-09-09,Manchester,FI440,08:45,Departure
2485,EasyJet,Á áætlun,2021-07-24,2021-09-09,London Luton,EZY2296,08:45,Departure
2486,Icelandair,Á áætlun,2021-07-24,2021-09-09,Alicante,FI1582,08:50,Departure
2487,EasyJet,Á áætlun,2021-07-24,2021-09-09,Manchester,EZY1806,09:00,Departure
2488,Icelandair,Á áætlun,2021-07-24,2021-09-09,Boston,FI635,09:20,Departure
2489,Delta,Á áætlun,2021-07-24,2021-09-09,Minneapolis St Paul,DL261,09:30,Departure
2490,Wizz Air,Á áætlun,2021-07-24,2021-09-09,Vín,W62858,10:25,Departure
2491,United Airlines,Á áætlun,2021-07-24,2021-09-09,Chicago,UA913,10:30,Departure
2492,SAS,Á áætlun,2021-07-24,2021-09-09,Kaupmannahöfn,SK596,10:30,Departure
2493,JET2.Com,Á áætlun,2021-07-24,2021-09-09,Manchester,LS4088,11:15,Departure
2494,Delta,Á áætlun,2021-07-24,2021-09-09,New York JFK,DL247,11:15,Departure
2495,United Airlines,Á áætlun,2021-07-24,2021-09-09,New York Newark,UA967,11:20,Departure
2496,Norwegian,Á áætlun,2021-07-24,2021-09-09,Osló,DY1171,11:20,Departure
2497,SAS,Á áætlun,2021-07-24,2021-09-09,Osló,SK4788,11:40,Departure
2498,Lufthansa,Á áætlun,2021-07-24,2021-09-09,Frankfurt,LH857,13:35,Departure
2499,Eurowings,Á áætlun,2021-07-24,2021-09-09,Hamborg,EW7809,14:20,Departure
2500,EasyJet,Á áætlun,2021-07-24,2021-09-09,Edinborg,EZY6942,15:05,Departure
2501,Play,Á áætlun,2021-07-24,2021-09-09,Kaupmannahöfn,OG904,15:15,Departure
2502,Icelandair,Á áætlun,2021-07-24,2021-09-09,Amsterdam,FI504,16:00,Departure
2503,Icelandair,Á áætlun,2021-07-24,2021-09-09,London Heathrow,FI454,16:10,Departure
2504,Icelandair,Á áætlun,2021-07-24,2021-09-09,Kaupmannahöfn,FI216,16:10,Departure
2505,Icelandair,Á áætlun,2021-07-24,2021-09-09,Osló,FI324,16:25,Departure
2506,Icelandair,Á áætlun,2021-07-24,2021-09-09,Minneapolis St Paul,FI657,16:45,Departure
2507,Icelandair,Á áætlun,2021-07-24,2021-09-09,Chicago,FI853,16:45,Departure
2508,Icelandair,Á áætlun,2021-07-24,2021-09-09,Madríd,FI594,16:45,Departure
2509,Icelandair,Á áætlun,2021-07-24,2021-09-09,Portland,FI665,16:50,Departure
2510,Icelandair,Á áætlun,2021-07-24,2021-09-09,Washington Dulles,FI645,16:50,Departure
2511,Icelandair,Á áætlun,2021-07-24,2021-09-09,Denver,FI671,16:55,Departure
2512,Icelandair,Á áætlun,2021-07-24,2021-09-09,New York JFK,FI615,17:00,Departure
2513,Icelandair,Á áætlun,2021-07-24,2021-09-09,New York Newark,FI623,17:00,Departure
2514,Icelandair,Á áætlun,2021-07-24,2021-09-09,Toronto,FI603,17:05,Departure
2515,Icelandair,Á áætlun,2021-07-24,2021-09-09,Seattle,FI681,17:05,Departure
2516,Icelandair,Á áætlun,2021-07-24,2021-09-09,Boston,FI631,17:15,Departure
2517,Icelandair,Á áætlun,2021-07-24,2021-09-09,Vancouver,FI697,17:20,Departure
2518,Icelandair,Á áætlun,2021-07-24,2021-09-09,Orlando,FI689,17:25,Departure
2519,Icelandair,Á áætlun,2021-07-24,2021-09-09,Seattle,FI683,17:50,Departure
2520,Wizz Air,Á áætlun,2021-07-24,2021-09-09,Riga,W62598,18:50,Departure
2521,Wizz Air,Á áætlun,2021-07-24,2021-09-09,Mílanó,W65566,19:20,Departure
2522,Wizz Air,Á áætlun,2021-07-24,2021-09-09,Gdansk,W61774,20:00,Departure
2523,Vueling,Á áætlun,2021-07-24,2021-09-09,Barcelona,VY8561,21:55,Departure
2524,Wizz Air,Á áætlun,2021-07-24,2021-09-09,London Luton,W94498,21:55,Departure
2525,Wizz Air,Á áætlun,2021-07-24,2021-09-10,Varsjá,W61540,00:05,Departure
2526,Lufthansa,Á áætlun,2021-07-24,2021-09-10,Munchen,LH2469,01:05,Departure
2527,Play,Á áætlun,2021-07-24,2021-09-10,París CDG,OG400,06:00,Departure
2528,Play,Á áætlun,2021-07-24,2021-09-10,Berlin Brandenburg,OG700,06:00,Departure
2529,Play,Á áætlun,2021-07-24,2021-09-10,London Stansted,OG800,06:30,Departure
2530,Icelandair,Á áætlun,2021-07-24,2021-09-10,Genf,FI564,07:20,Departure
2531,Icelandair,Á áætlun,2021-07-24,2021-09-10,Munchen,FI532,07:20,Departure
2532,Icelandair,Á áætlun,2021-07-24,2021-09-10,Zurich,FI568,07:20,Departure
2533,Icelandair,Á áætlun,2021-07-24,2021-09-10,Frankfurt,FI520,07:25,Departure
2534,Icelandair,Á áætlun,2021-07-24,2021-09-10,Dublin,FI416,07:30,Departure
2535,Icelandair,Á áætlun,2021-07-24,2021-09-10,Helsinki,FI342,07:30,Departure
2536,Icelandair,Á áætlun,2021-07-24,2021-09-10,Glasgow,FI430,07:35,Departure
2537,Icelandair,Á áætlun,2021-07-24,2021-09-10,Stokkhólmur,FI306,07:35,Departure
2538,Icelandair,Á áætlun,2021-07-24,2021-09-10,London Heathrow,FI450,07:40,Departure
2539,Icelandair,Á áætlun,2021-07-24,2021-09-10,Amsterdam,FI500,07:40,Departure
2540,Icelandair,Á áætlun,2021-07-24,2021-09-10,Brussel,FI554,07:40,Departure
2541,Icelandair,Á áætlun,2021-07-24,2021-09-10,París CDG,FI542,07:40,Departure
2542,Icelandair,Á áætlun,2021-07-24,2021-09-10,Berlin Brandenburg,FI528,07:40,Departure
2543,Icelandair,Á áætlun,2021-07-24,2021-09-10,London Gatwick,FI470,07:45,Departure
2544,Icelandair,Á áætlun,2021-07-24,2021-09-10,Kaupmannahöfn,FI204,07:45,Departure
2545,Icelandair,Á áætlun,2021-07-24,2021-09-10,Osló,FI318,07:50,Departure
2546,Icelandair,Á áætlun,2021-07-24,2021-09-10,Amsterdam,FI506,07:50,Departure
2547,Icelandair,Á áætlun,2021-07-24,2021-09-10,Berlin Brandenburg,FI526,08:00,Departure
2548,Icelandair,Á áætlun,2021-07-24,2021-09-10,Kaupmannahöfn,FI206,08:00,Departure
2549,Neos,Á áætlun,2021-07-24,2021-09-10,Tenerife South,NO5924,08:20,Departure
2550,Icelandair,Á áætlun,2021-07-24,2021-09-10,Manchester,FI440,08:25,Departure
2551,Transavia,Á áætlun,2021-07-24,2021-09-10,Amsterdam,HV6888,08:45,Departure
2552,Icelandair,Á áætlun,2021-07-24,2021-09-10,Chania,FI1586,09:00,Departure
2553,EasyJet,Á áætlun,2021-07-24,2021-09-10,London Luton,EZY2296,09:15,Departure
2554,Delta,Á áætlun,2021-07-24,2021-09-10,Minneapolis St Paul,DL261,09:30,Departure
2555,United Airlines,Á áætlun,2021-07-24,2021-09-10,Chicago,UA913,10:30,Departure
2556,SAS,Á áætlun,2021-07-24,2021-09-10,Kaupmannahöfn,SK596,10:30,Departure
2557,British Airways,Á áætlun,2021-07-24,2021-09-10,London Heathrow,BA801,10:45,Departure
2558,Delta,Á áætlun,2021-07-24,2021-09-10,New York JFK,DL247,11:15,Departure
2559,United Airlines,Á áætlun,2021-07-24,2021-09-10,New York Newark,UA967,11:20,Departure
2560,SAS,Á áætlun,2021-07-24,2021-09-10,Osló,SK4788,11:40,Departure
2561,Atlantic Airways,Á áætlun,2021-07-24,2021-09-10,Vagar,RC402,11:40,Departure
2562,Vueling,Á áætlun,2021-07-24,2021-09-10,Barcelona,VY2008,12:20,Departure
2563,Air Baltic,Á áætlun,2021-07-24,2021-09-10,Riga,BT170,15:10,Departure
2564,Play,Á áætlun,2021-07-24,2021-09-10,Kaupmannahöfn,OG904,15:15,Departure
2565,Play,Á áætlun,2021-07-24,2021-09-10,Barcelona,OG614,15:15,Departure
2566,Icelandair,Á áætlun,2021-07-24,2021-09-10,Frankfurt,FI524,15:55,Departure
2567,Icelandair,Á áætlun,2021-07-24,2021-09-10,París CDG,FI540,16:00,Departure
2568,Icelandair,Á áætlun,2021-07-24,2021-09-10,London Heathrow,FI454,16:10,Departure
2569,Icelandair,Á áætlun,2021-07-24,2021-09-10,Kaupmannahöfn,FI216,16:10,Departure
2570,Icelandair,Á áætlun,2021-07-24,2021-09-10,Stokkhólmur,FI312,16:25,Departure
2571,Icelandair,Á áætlun,2021-07-24,2021-09-10,Minneapolis St Paul,FI657,16:45,Departure
2572,Icelandair,Á áætlun,2021-07-24,2021-09-10,Chicago,FI853,16:45,Departure
2573,Icelandair,Á áætlun,2021-07-24,2021-09-10,Portland,FI665,16:50,Departure
2574,Icelandair,Á áætlun,2021-07-24,2021-09-10,Washington Dulles,FI645,16:50,Departure
2575,Icelandair,Á áætlun,2021-07-24,2021-09-10,Denver,FI671,16:55,Departure
2576,Icelandair,Á áætlun,2021-07-24,2021-09-10,New York JFK,FI615,17:00,Departure
2577,Icelandair,Á áætlun,2021-07-24,2021-09-10,New York Newark,FI623,17:00,Departure
2578,Icelandair,Á áætlun,2021-07-24,2021-09-10,Toronto,FI603,17:05,Departure
2579,Icelandair,Á áætlun,2021-07-24,2021-09-10,Billund,FI274,17:05,Departure
2580,Icelandair,Á áætlun,2021-07-24,2021-09-10,Seattle,FI681,17:05,Departure
2581,Icelandair,Á áætlun,2021-07-24,2021-09-10,Boston,FI631,17:20,Departure
2582,Icelandair,Á áætlun,2021-07-24,2021-09-10,Vancouver,FI697,17:20,Departure
2583,Icelandair,Á áætlun,2021-07-24,2021-09-10,Orlando,FI689,17:25,Departure
2584,Icelandair,Á áætlun,2021-07-24,2021-09-10,Kangerlussuaq,FI1531,18:00,Departure
2585,Wizz Air,Á áætlun,2021-07-24,2021-09-10,Wroclaw,W61898,18:50,Departure
2586,Wizz Air,Á áætlun,2021-07-24,2021-09-10,Rome Fiumicino,W68266,19:20,Departure
2587,Wizz Air,Á áætlun,2021-07-24,2021-09-10,Katowice,W61168,20:45,Departure
2588,Lufthansa,Á áætlun,2021-07-24,2021-09-11,Frankfurt,LH869,00:25,Departure
2589,Transavia,Á áætlun,2021-07-24,2021-09-11,París Orly,TO4041,00:45,Departure
2590,Icelandair,Á áætlun,2021-07-24,2021-09-11,Genf,FI564,07:20,Departure
2591,Icelandair,Á áætlun,2021-07-24,2021-09-11,Munchen,FI532,07:20,Departure
2592,Icelandair,Á áætlun,2021-07-24,2021-09-11,Zurich,FI568,07:20,Departure
2593,Icelandair,Á áætlun,2021-07-24,2021-09-11,Frankfurt,FI520,07:25,Departure
2594,Icelandair,Á áætlun,2021-07-24,2021-09-11,Dublin,FI416,07:30,Departure
2595,Icelandair,Á áætlun,2021-07-24,2021-09-11,Helsinki,FI342,07:30,Departure
2596,Icelandair,Á áætlun,2021-07-24,2021-09-11,Dusseldorf,FI578,07:35,Departure
2597,Icelandair,Á áætlun,2021-07-24,2021-09-11,Stokkhólmur,FI306,07:35,Departure
2598,Icelandair,Á áætlun,2021-07-24,2021-09-11,Amsterdam,FI500,07:40,Departure
2599,Icelandair,Á áætlun,2021-07-24,2021-09-11,Berlin Brandenburg,FI528,07:40,Departure
2600,Icelandair,Á áætlun,2021-07-24,2021-09-11,París CDG,FI542,07:40,Departure
2601,Icelandair,Á áætlun,2021-07-24,2021-09-11,Brussel,FI554,07:40,Departure
2602,Icelandair,Á áætlun,2021-07-24,2021-09-11,London Heathrow,FI450,07:40,Departure
2603,Icelandair,Á áætlun,2021-07-24,2021-09-11,London Gatwick,FI470,07:45,Departure
2604,Icelandair,Á áætlun,2021-07-24,2021-09-11,Kaupmannahöfn,FI204,07:45,Departure
2605,Icelandair,Á áætlun,2021-07-24,2021-09-11,Osló,FI318,07:50,Departure
2606,Icelandair,Á áætlun,2021-07-24,2021-09-11,Amsterdam,FI506,07:50,Departure
2607,Icelandair,Á áætlun,2021-07-24,2021-09-11,París CDG,FI544,07:50,Departure
2608,Neos,Á áætlun,2021-07-24,2021-09-11,Verona,NO6956,08:20,Departure
2609,Icelandair,Á áætlun,2021-07-24,2021-09-11,Kaupmannahöfn,FI206,08:20,Departure
2610,Icelandair,Á áætlun,2021-07-24,2021-09-11,Manchester,FI440,08:20,Departure
2611,Icelandair,Á áætlun,2021-07-24,2021-09-11,Tenerife South,FI580,08:40,Departure
2612,Icelandair,Á áætlun,2021-07-24,2021-09-11,Tenerife South,FI582,08:50,Departure
2613,Icelandair,Á áætlun,2021-07-24,2021-09-11,Boston,FI635,09:20,Departure
2614,Delta,Á áætlun,2021-07-24,2021-09-11,Minneapolis St Paul,DL261,09:30,Departure
2615,British Airways,Á áætlun,2021-07-24,2021-09-11,London Heathrow,BA801,10:10,Departure
2616,Play,Á áætlun,2021-07-24,2021-09-11,Tenerife South,OG620,10:10,Departure
2617,United Airlines,Á áætlun,2021-07-24,2021-09-11,Chicago,UA913,10:30,Departure
2618,Delta,Á áætlun,2021-07-24,2021-09-11,New York JFK,DL247,11:15,Departure
2619,United Airlines,Á áætlun,2021-07-24,2021-09-11,New York Newark,UA967,11:20,Departure
2620,Lufthansa,Á áætlun,2021-07-24,2021-09-11,Frankfurt,LH857,13:35,Departure
2621,Icelandair,Á áætlun,2021-07-24,2021-09-11,Barcelona,FI596,14:00,Departure
2622,Play,Á áætlun,2021-07-24,2021-09-11,Alicante,OG604,15:15,Departure
2623,Icelandair,Á áætlun,2021-07-24,2021-09-11,Mílanó,FI592,15:20,Departure
2624,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Dortmund,W64714,15:50,Departure
2625,Icelandair,Á áætlun,2021-07-24,2021-09-11,London Heathrow,FI454,16:10,Departure
2626,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Búdapest,W62428,16:25,Departure
2627,Icelandair,Á áætlun,2021-07-24,2021-09-11,Kaupmannahöfn,FI216,16:25,Departure
2628,Edelweiss,Á áætlun,2021-07-24,2021-09-11,Zurich,WK301,16:30,Departure
2629,Icelandair,Á áætlun,2021-07-24,2021-09-11,Madríd,FI594,16:40,Departure
2630,Icelandair,Á áætlun,2021-07-24,2021-09-11,Minneapolis St Paul,FI657,16:45,Departure
2631,Icelandair,Á áætlun,2021-07-24,2021-09-11,Chicago,FI853,16:45,Departure
2632,Icelandair,Á áætlun,2021-07-24,2021-09-11,Portland,FI665,16:50,Departure
2633,Icelandair,Á áætlun,2021-07-24,2021-09-11,Washington Dulles,FI645,16:50,Departure
2634,Icelandair,Á áætlun,2021-07-24,2021-09-11,Denver,FI671,16:55,Departure
2635,Air Greenland,Á áætlun,2021-07-24,2021-09-11,Nuuk,GL711,16:55,Departure
2636,Icelandair,Á áætlun,2021-07-24,2021-09-11,New York JFK,FI615,17:00,Departure
2637,Icelandair,Á áætlun,2021-07-24,2021-09-11,New York Newark,FI623,17:00,Departure
2638,Icelandair,Á áætlun,2021-07-24,2021-09-11,Toronto,FI603,17:05,Departure
2639,Icelandair,Á áætlun,2021-07-24,2021-09-11,Seattle,FI681,17:05,Departure
2640,Icelandair,Á áætlun,2021-07-24,2021-09-11,Boston,FI631,17:15,Departure
2641,Icelandair,Á áætlun,2021-07-24,2021-09-11,Vancouver,FI697,17:20,Departure
2642,Icelandair,Á áætlun,2021-07-24,2021-09-11,Orlando,FI689,17:25,Departure
2643,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Vín,W62858,17:50,Departure
2644,Icelandair,Á áætlun,2021-07-24,2021-09-11,Seattle,FI683,17:50,Departure
2645,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Wroclaw,W61898,18:50,Departure
2646,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Mílanó,W65566,19:20,Departure
2647,Wizz Air,Á áætlun,2021-07-24,2021-09-11,Gdansk,W61774,20:50,Departure
2648,Vueling,Á áætlun,2021-07-24,2021-09-11,Barcelona,VY8561,21:55,Departure
2649,Wizz Air,Á áætlun,2021-07-24,2021-09-11,London Luton,W94498,21:55,Departure
2650,Wizz Air,Á áætlun,2021-07-24,2021-09-12,Varsjá,W61540,00:10,Departure
2651,Transavia,Á áætlun,2021-07-24,2021-09-12,París Orly,TO4041,00:45,Departure
2652,Lufthansa,Á áætlun,2021-07-24,2021-09-12,Munchen,LH2469,01:05,Departure
2653,Czech Airlines,Á áætlun,2021-07-24,2021-09-12,Prag,OK461,01:30,Departure
2654,Iberia Express,Á áætlun,2021-07-24,2021-09-12,Madríd,I23661,01:35,Departure
2655,Play,Á áætlun,2021-07-24,2021-09-12,París CDG,OG400,06:00,Departure
2656,Play,Á áætlun,2021-07-24,2021-09-12,Berlin Brandenburg,OG700,06:00,Departure
2657,Play,Á áætlun,2021-07-24,2021-09-12,London Stansted,OG800,06:30,Departure
2658,Icelandair,Á áætlun,2021-07-24,2021-09-12,Genf,FI564,07:20,Departure
2659,Icelandair,Á áætlun,2021-07-24,2021-09-12,Zurich,FI568,07:20,Departure
2660,Icelandair,Á áætlun,2021-07-24,2021-09-12,Munchen,FI532,07:20,Departure
2661,Icelandair,Á áætlun,2021-07-24,2021-09-12,Frankfurt,FI520,07:25,Departure
2662,Icelandair,Á áætlun,2021-07-24,2021-09-12,Helsinki,FI342,07:30,Departure
2663,Icelandair,Á áætlun,2021-07-24,2021-09-12,Dublin,FI416,07:30,Departure
2664,Icelandair,Á áætlun,2021-07-24,2021-09-12,Dusseldorf,FI578,07:35,Departure
2665,Icelandair,Á áætlun,2021-07-24,2021-09-12,Glasgow,FI430,07:35,Departure
2666,Icelandair,Á áætlun,2021-07-24,2021-09-12,Stokkhólmur,FI306,07:35,Departure
2667,Icelandair,Á áætlun,2021-07-24,2021-09-12,London Heathrow,FI450,07:40,Departure
2668,Icelandair,Á áætlun,2021-07-24,2021-09-12,Amsterdam,FI500,07:40,Departure
2669,Icelandair,Á áætlun,2021-07-24,2021-09-12,Berlin Brandenburg,FI528,07:40,Departure
2670,Icelandair,Á áætlun,2021-07-24,2021-09-12,París CDG,FI542,07:40,Departure
2671,Icelandair,Á áætlun,2021-07-24,2021-09-12,Brussel,FI554,07:40,Departure
2672,Icelandair,Á áætlun,2021-07-24,2021-09-12,London Gatwick,FI470,07:45,Departure
2673,Icelandair,Á áætlun,2021-07-24,2021-09-12,Kaupmannahöfn,FI204,07:45,Departure
2674,Icelandair,Á áætlun,2021-07-24,2021-09-12,Hamborg,FI510,07:50,Departure
2675,Icelandair,Á áætlun,2021-07-24,2021-09-12,Osló,FI318,07:50,Departure
2676,Neos,Á áætlun,2021-07-24,2021-09-12,Tenerife South,NO7924,08:20,Departure
2677,Icelandair,Á áætlun,2021-07-24,2021-09-12,Kaupmannahöfn,FI206,08:20,Departure
2678,Icelandair,Á áætlun,2021-07-24,2021-09-12,Manchester,FI440,08:25,Departure
2679,Icelandair,Á áætlun,2021-07-24,2021-09-12,Malaga,FI1526,08:50,Departure
2680,EasyJet,Á áætlun,2021-07-24,2021-09-12,Manchester,EZY1806,09:15,Departure
2681,Delta,Á áætlun,2021-07-24,2021-09-12,Minneapolis St Paul,DL261,09:30,Departure
2682,EasyJet,Á áætlun,2021-07-24,2021-09-12,London Luton,EZY2296,09:35,Departure
2683,Norwegian,Á áætlun,2021-07-24,2021-09-12,Osló,DY1171,10:00,Departure
2684,United Airlines,Á áætlun,2021-07-24,2021-09-12,Chicago,UA913,10:30,Departure
2685,Eurowings,Á áætlun,2021-07-24,2021-09-12,Hamborg,EW7809,10:35,Departure
2686,Delta,Á áætlun,2021-07-24,2021-09-12,New York JFK,DL247,11:15,Departure
2687,United Airlines,Á áætlun,2021-07-24,2021-09-12,New York Newark,UA967,11:20,Departure
2688,Vueling,Á áætlun,2021-07-24,2021-09-12,Barcelona,VY2008,12:20,Departure
2689,Air Baltic,Á áætlun,2021-07-24,2021-09-12,Riga,BT170,15:10,Departure
2690,Play,Á áætlun,2021-07-24,2021-09-12,Kaupmannahöfn,OG904,15:15,Departure
2691,EasyJet,Á áætlun,2021-07-24,2021-09-12,Edinborg,EZY6942,15:25,Departure
2692,Icelandair,Á áætlun,2021-07-24,2021-09-12,París CDG,FI540,15:30,Departure
2693,Icelandair,Á áætlun,2021-07-24,2021-09-12,Frankfurt,FI524,15:55,Departure
2694,Icelandair,Á áætlun,2021-07-24,2021-09-12,Amsterdam,FI504,15:55,Departure
2695,Icelandair,Á áætlun,2021-07-24,2021-09-12,Kaupmannahöfn,FI216,16:10,Departure
2696,Icelandair,Á áætlun,2021-07-24,2021-09-12,London Heathrow,FI454,16:10,Departure
2697,SAS,Á áætlun,2021-07-24,2021-09-12,Osló,SK4788,16:15,Departure
2698,Icelandair,Á áætlun,2021-07-24,2021-09-12,Osló,FI324,16:25,Departure
2699,Icelandair,Á áætlun,2021-07-24,2021-09-12,Stokkhólmur,FI312,16:25,Departure
2700,Icelandair,Á áætlun,2021-07-24,2021-09-12,Minneapolis St Paul,FI657,16:45,Departure
2701,Icelandair,Á áætlun,2021-07-24,2021-09-12,Chicago,FI853,16:45,Departure
2702,Icelandair,Á áætlun,2021-07-24,2021-09-12,Portland,FI665,16:50,Departure
2703,Icelandair,Á áætlun,2021-07-24,2021-09-12,Washington Dulles,FI645,16:50,Departure
2704,Icelandair,Á áætlun,2021-07-24,2021-09-12,Denver,FI671,16:55,Departure
2705,Icelandair,Á áætlun,2021-07-24,2021-09-12,New York JFK,FI615,17:00,Departure
2706,Icelandair,Á áætlun,2021-07-24,2021-09-12,New York Newark,FI623,17:00,Departure
2707,Icelandair,Á áætlun,2021-07-24,2021-09-12,Toronto,FI603,17:05,Departure
