Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type,Scenario
Icelandair,Farin 16:58,2021-07-24,2021-07-24,Portland,FI665,16:50,Departure,Plan
Icelandair,Farin 17:10,2021-07-24,2021-07-24,Washington Dulles,FI645,16:50,Departure,Plan
Icelandair,Farin 17:16,2021-07-24,2021-07-24,Denver,FI671,16:55,Departure,Plan
Icelandair,Farin 17:23,2021-07-24,2021-07-24,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Farin 17:25,2021-07-24,2021-07-24,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Farin 17:16,2021-07-24,2021-07-24,Seattle,FI681,17:05,Departure,Plan
Vueling,Farin 17:05,2021-07-24,2021-07-24,Barcelona,VY8561,17:10,Departure,Plan
Icelandair,Farin 17:35,2021-07-24,2021-07-24,Boston,FI631,17:15,Departure,Plan
Icelandair,Farin 18:13,2021-07-24,2021-07-24,Seattle,FI683,17:50,Departure,Plan
Wizz Air,Farin 18:54,2021-07-24,2021-07-24,Wroclaw,W61898,18:50,Departure,Plan
Wizz Air,Farin 19:15,2021-07-24,2021-07-24,Mílanó,W65566,19:20,Departure,Plan
Transavia,Farin 19:50,2021-07-24,2021-07-24,Amsterdam,HV6888,19:50,Departure,Plan
Wizz Air,Farin 21:11,2021-07-24,2021-07-24,Gdansk,W61774,20:50,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-25,Varsjá,W61540,00:10,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-25,Munchen,LH2469,01:05,Departure,Plan
Czech Airlines,Á áætlun,2021-07-24,2021-07-25,Prag,OK461,01:30,Departure,Plan
Iberia Express,Á áætlun,2021-07-24,2021-07-25,Madríd,I23661,01:35,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-25,París CDG,OG400,06:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-25,London Stansted,OG800,06:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Zurich,FI568,07:20,Departure,Plan
Icelandair,Áætluð brottför 07:20,2021-07-24,2021-07-25,Munchen,FI532,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Áætluð brottför 07:40,2021-07-24,2021-07-25,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,París CDG,FI542,07:40,Departure,Plan
Icelandair,Áætluð brottför 07:40,2021-07-24,2021-07-25,Amsterdam,FI500SU3617,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Brussel,FI554,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Hamborg,FI510,07:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Osló,FI318AY6818 SU3611,07:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Malaga,FI1526,08:50,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-25,Minneapolis St Paul,DL261,09:30,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-25,London Luton,EZY2296,09:35,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,SK596,09:55,Departure,Plan
Norwegian,Á áætlun,2021-07-24,2021-07-25,Osló,DY1171,10:00,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-25,Boston,DL267,10:15,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-25,Chicago,UA913,10:30,Departure,Plan
Eurowings,Á áætlun,2021-07-24,2021-07-25,Hamborg,EW7809,10:35,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-25,New York JFK,DL247,10:50,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-25,New York Newark,UA967,11:20,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-25,Osló,SK4788,12:45,Departure,Plan
Air Baltic,Á áætlun,2021-07-24,2021-07-25,Riga,BT170,15:10,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-25,Berlin Brandenburg,OG704,15:15,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,OG904,15:15,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-25,Edinborg,EZY6942,15:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Frankfurt,FI524,15:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Amsterdam,FI504SU3596,16:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,París CDG,FI540,16:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Kaupmannahöfn,FI216SU3618,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,London Heathrow,FI454,16:10,Departure,Plan
El Al Israel Airlines Ltd.,Á áætlun,2021-07-24,2021-07-25,Tel Aviv,LY3202,16:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Minneapolis St Paul,FI657,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Chicago,FI853,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Washington Dulles,FI645B65645,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Denver,FI671,16:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Seattle,FI681,17:05,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-25,Boston,FI631B65631,17:15,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-25,Riga,W62598,20:50,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-26,Varsjá,W61540,00:10,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-26,Frankfurt,LH869,00:25,Departure,Plan
Eurowings,Á áætlun,2021-07-24,2021-07-26,Dusseldorf,EW9281,00:30,Departure,Plan
Austrian,Á áætlun,2021-07-24,2021-07-26,Vín,OS9762,01:00,Departure,Plan
Czech Airlines,Á áætlun,2021-07-24,2021-07-26,Prag,OK461,02:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-26,París CDG,OG400,06:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-26,London Stansted,OG800,06:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Genf,FI564,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Zurich,FI568,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Munchen,FI532,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Brussel,FI554,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,París CDG,FI542,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Amsterdam,FI500SU3617,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Osló,FI318AY6818 SU3611,07:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-26,London Luton,EZY2296,08:45,Departure,Plan
Transavia,Á áætlun,2021-07-24,2021-07-26,Amsterdam,HV6886,08:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Alicante,FI1582,08:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Boston,FI635B65635,09:20,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-26,Minneapolis St Paul,DL261,09:30,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-26,Boston,DL267,10:15,Departure,Plan
Atlantic Airways,Á áætlun,2021-07-24,2021-07-26,Vagar,RC402KL9532 AF3886,10:20,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-26,Chicago,UA913,10:30,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,SK596,10:30,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-26,New York JFK,DL247,10:50,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-26,Osló,SK4788,11:10,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-26,New York Newark,UA967,11:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Mílanó,FI592,14:00,Departure,Plan
Air Baltic,Á áætlun,2021-07-24,2021-07-26,Riga,BT170,15:10,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-26,Barcelona,OG614,15:15,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-26,Berlin Brandenburg,OG704,15:15,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,París CDG,FI540,16:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Kaupmannahöfn,FI216SU3618,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,London Heathrow,FI454,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Billund,FI274,16:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Chicago,FI853,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Portland,FI665,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Washington Dulles,FI645B65645,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Denver,FI671,16:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Seattle,FI681,17:05,Departure,Plan
Vueling,Á áætlun,2021-07-24,2021-07-26,Barcelona,VY8561,17:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Orlando,FI689B65689,17:15,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-26,Boston,FI631B65631,17:15,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-26,Rome Fiumicino,W68266,19:20,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-26,Katowice,W61168,20:00,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-27,Frankfurt,LH869,00:25,Departure,Plan
Czech Airlines,Á áætlun,2021-07-24,2021-07-27,Prag,OK461,01:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Munchen,FI532,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Zurich,FI568,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Helsinki,FI342AY6816,07:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Amsterdam,FI500SU3617,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,París CDG,FI542,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,París CDG,FI544,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Hamborg,FI510,07:50,Departure,Plan
Neos,Á áætlun,2021-07-24,2021-07-27,Malaga,NO2904,08:20,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-27,Minneapolis St Paul,DL261,09:30,Departure,Plan
Enter Air Spolka z.o.o.,Á áætlun,2021-07-24,2021-07-27,Trondheim,ENT555,09:30,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-27,Alicante,OG600,10:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-27,Tenerife South,OG620,10:05,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-27,Boston,DL267,10:15,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-27,Chicago,UA913,10:30,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-27,Kaupmannahöfn,SK596,10:30,Departure,Plan
British Airways,Á áætlun,2021-07-24,2021-07-27,London Heathrow,BA801AA6569,10:45,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-27,New York JFK,DL247,10:50,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-27,New York Newark,UA967,11:20,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-27,Wroclaw,W61898,11:50,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-27,Frankfurt,LH857,13:35,Departure,Plan
Austrian,Á áætlun,2021-07-24,2021-07-27,Vín,OS9764,15:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Kaupmannahöfn,FI216SU3618,16:10,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-27,Búdapest,W62428,16:30,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-27,Vín,W62858,16:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Portland,FI665,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Washington Dulles,FI645B65645,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Denver,FI671,16:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Seattle,FI681,17:05,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-27,Boston,FI631B65631,17:15,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-27,Mílanó,W65566,19:20,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-27,Gdansk,W61774,20:50,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-28,Varsjá,W61540,00:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Zurich,FI568,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Amsterdam,FI500SU3617,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,París CDG,FI542,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Brussel,FI554,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,París CDG,FI544,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan
Neos,Á áætlun,2021-07-24,2021-07-28,Tenerife South,NO3924,08:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Tenerife South,FI580,08:40,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-28,Minneapolis St Paul,DL261,09:30,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-28,Boston,DL267,10:15,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-28,Chicago,UA913,10:30,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-28,Kaupmannahöfn,SK596,10:30,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-28,New York JFK,DL247,10:50,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-28,New York Newark,UA967,11:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Mílanó,FI592,14:00,Departure,Plan
Edelweiss,Á áætlun,2021-07-24,2021-07-28,Zurich,WK301,15:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Kaupmannahöfn,FI216SU3618,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Minneapolis St Paul,FI657,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Chicago,FI853,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Washington Dulles,FI645B65645,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Denver,FI671,16:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Seattle,FI681,17:05,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-28,Boston,FI631B65631,17:15,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-28,Katowice,W61168,18:50,Departure,Plan
Transavia,Á áætlun,2021-07-24,2021-07-28,Amsterdam,HV6886,19:50,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-29,Varsjá,W61540,00:10,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-29,Frankfurt,LH869,00:25,Departure,Plan
Czech Airlines,Á áætlun,2021-07-24,2021-07-29,Prag,OK461,02:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-29,París CDG,OG400,06:00,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-29,Kaupmannahöfn,OG900,06:30,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Munchen,FI532,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Zurich,FI568,07:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Frankfurt,FI520,07:25,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Stokkhólmur,FI306SK6156 SU3615 AY6814,07:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Berlin Brandenburg,FI528,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,London Heathrow,FI450,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,París CDG,FI542,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Amsterdam,FI500SU3617,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Brussel,FI554,07:40,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Kaupmannahöfn,FI204SK6150 SU4480,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,París CDG,FI544,07:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Osló,FI318AY6818 SU3611,07:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan
Neos,Á áætlun,2021-07-24,2021-07-29,Alicante,NO4902,08:20,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-29,London Luton,EZY2296,08:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Alicante,FI1582,08:50,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-29,Manchester,EZY1806,09:00,Departure,Plan
Wizz Air,Á áætlun,2021-07-24,2021-07-29,Vín,W62858,09:20,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Boston,FI635B65635,09:20,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-29,Minneapolis St Paul,DL261,09:30,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-29,Boston,DL267,10:15,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-29,Chicago,UA913,10:30,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-29,Kaupmannahöfn,SK596,10:30,Departure,Plan
British Airways,Á áætlun,2021-07-24,2021-07-29,London Heathrow,BA801AA6569,10:40,Departure,Plan
Delta,Á áætlun,2021-07-24,2021-07-29,New York JFK,DL247,10:50,Departure,Plan
United Airlines,Á áætlun,2021-07-24,2021-07-29,New York Newark,UA967,11:20,Departure,Plan
SAS,Á áætlun,2021-07-24,2021-07-29,Osló,SK4788,11:25,Departure,Plan
Lufthansa,Á áætlun,2021-07-24,2021-07-29,Frankfurt,LH857,13:35,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Madríd,FI594,14:00,Departure,Plan
Eurowings,Á áætlun,2021-07-24,2021-07-29,Hamborg,EW7809,14:20,Departure,Plan
EasyJet,Á áætlun,2021-07-24,2021-07-29,Edinborg,EZY6942,15:05,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-29,Berlin Brandenburg,OG704,15:15,Departure,Plan
Play,Á áætlun,2021-07-24,2021-07-29,London Stansted,OG804,15:15,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Kaupmannahöfn,FI216SU3618,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,London Heathrow,FI454,16:10,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Chicago,FI853,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Minneapolis St Paul,FI657,16:45,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Portland,FI665,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Washington Dulles,FI645B65645,16:50,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Denver,FI671,16:55,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,New York JFK,FI615,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,New York Newark,FI623,17:00,Departure,Plan
Icelandair,Á áætlun,2021-07-24,2021-07-29,Seattle,FI681,17:05,Departure,Plan
Vueling,Á áætlun,2021-07-24,2021-07-29,Barcelona,VY8561,17:10,Departure,Plan
